xh,高等数学i1,线性代数与解析几何ii,大学物理实验i1,大学物理ii1,高等数学i2,程序设计基础,工程制图iii,电路,概率统计与随机过程,数据结构与算法i,离散数学a,大学物理实验i2,数据结构与程序设计专题实验,面向对象程序设计,大学物理ii2,模拟电子技术基础,形式语言与编译,电子技术实验1,编译器设计专题实验,电子技术实验2,数字逻辑电路,汇编语言,数学建模ii,数理逻辑,计算机组成,操作系统原理i,计算机网络原理,操作系统设计专题实验,计算机组成与结构专题实验,人工智能,计算机图形学,数据库系统,计算机网络专题实验,软件工程,计算机系统综合设计实验,软件定义网络,毕业设计（论文）
38b77f3982bd32841866433385e890fc,92,,87,95,80,73,90,74,70,69,78,87,92,75,81,79,60,98,74,92,64,71,97,83,72,65,64,79,95,84,95,70,83,60,83,,79
ba938539a67cb401f702ae619bfbc20d,82,,92,88,76,91,83,86,74,77,73,87,83,86,79,60,74,98,67,92,70,69,97,84,78,87,83,92,100,79,96,84,87,91,98,81,92
6ff1b57bb52477d6447fbcd010ed34de,83,87,83,91,85,71,80,75,83,84,81,87,95,90,83,87,78,87,75,83,90,74,97,85,70,75,76,92,95,86,84,74,79,67,92,79,83
255ee5e9322cbd44dcde01813f6a0e41,85,89,92,94,81,84,92,80,76,90,82,87,96,97,91,83,64,92,76,87,82,69,,,80,81,80,83,95,83,85,80,76,84,87,,83
fc01de5f84b7ea05e8eb9a399c5b0d7c,63,,,95,76,100,97,75,77,87,94,79,87,94,88,68,85,83,66,90,70,85,,89,90,89,64,98,100,89,82,92,92,78,98,96,76
1f51fb474bf8a34601907f95d783a750,73,81,87,78,67,84,85,61,79,76,66,92,79,80,68,61,73,92,67,92,66,71,92,79,77,69,72,66,95,73,77,72,87,70,92,83,83
c9a6dd18db1a93dfc1f33d807b9f3762,,78,,78,,,,69,65,,74,73,,,68,78,65,70,77,62,83,76,,,74,88,72,66,75,81,93,66,73,61,98,72,79
9b1bbd8597c70fe6e4e0b91492558974,91,92,87,86,89,65,89,60,74,71,77,87,76,62,82,67,75,98,66,88,60,60,96,,73,70,71,87,72,74,79,61,62,60,76,,83
a5eabe02e85784012eaaa894350ea05c,87,90,87,94,67,84,90,74,82,82,88,83,79,85,66,60,81,87,72,87,85,90,97,,79,82,87,92,97,94,91,84,87,86,87,87,83
d4a3692e83a35208bb6d90b162e4934a,,86,87,82,,89,,76,70,78,81,87,90,76,87,89,72,92,80,92,90,72,96,89,67,80,75,87,95,68,92,74,73,79,92,68,87
12b27a579210c3e75994a8bd99570045,95,98,87,,96,94,80,92,90,93,96,87,92,,,97,85,92,85,87,91,96,99,95,95,92,96,98,95,96,,94,87,84,87,87,87
c8455005692dfdb26b17eed547133f3a,,90,83,97,,95,,74,79,89,84,83,95,88,94,85,74,92,89,92,84,84,93,81,86,86,84,87,95,89,,76,83,70,83,78,83
87316630da0dfcb002df27a391d1c767,87,97,87,94,80,93,98,84,86,84,92,79,96,91,85,91,81,92,79,92,88,87,100,93,88,87,83,92,95,76,85,82,92,69,92,85,62
568d8d745e7a36b3d82947ef45f7b1e8,,80,87,,,99,,86,87,85,85,83,87,96,78,93,73,87,71,92,87,82,98,,86,85,87,92,95,88,94,81,98,81,92,94,92
6299c58e3df785bef7b534423ddfaae0,,,87,96,,86,,89,73,86,84,87,88,90,92,96,72,98,87,87,90,88,99,83,82,91,84,98,100,96,97,84,98,92,98,91,92
819ede769778e2e8bef0469bc3c5a6ce,80,72,92,,70,62,65,85,64,75,60,87,92,73,,71,63,98,65,87,83,64,96,,67,66,62,83,95,76,79,74,83,61,92,,79
7387c0dae26cd2d721aa95e304ce6c8d,84,,87,87,74,69,83,71,73,69,70,87,92,85,75,81,93,92,87,92,92,81,99,82,67,74,67,87,95,76,,76,87,80,87,84,83
6da5302a9a7e2e42424be9b6ec04cf25,91,,83,99,86,97,91,86,79,83,86,87,87,92,87,94,85,92,90,98,87,90,91,,84,91,83,92,100,74,,68,76,67,87,74,92
0460037d235555c245b406d2468cb056,79,85,87,86,71,89,80,78,66,71,91,87,95,83,86,62,65,,74,87,84,,,80,77,65,81,76,90,89,86,80,79,72,98,76,83
