xh,24式太极拳,专业实习II,专业实习Ⅰ,中国近现代史纲要,习近平新时代中国特色社会主义思想概论,人工智能,优化方法基础,体育-1,体育-2,体育-3,体育-4,军训,国防教育,大学化学,大学化学实验,大学物理II-1,大学物理II-2,大学物理实验I-1,大学物理实验I-2,大学英语I,大学英语III1,大学英语III2,大学计算机III,工程与社会,工程制图,形势与政策,形式语言与编译,思想道德修养与法律基础,操作系统原理I,操作系统设计专题实验,数字逻辑电路,数学建模II,数据库系统,数据结构与程序设计专题实验,数据结构与算法I,数理逻辑,概率统计与随机过程,模拟电子技术,模拟电子技术基础,毕业设计（论文）,毛泽东思想和中国特色社会主义理论体系概论,汇编语言,测控实习,生命科学基础I,电子技术实验1,电子技术实验2,电工实习,电路,离散数学A,程序设计基础,算法分析与设计,线性代数与解析几何,编译器设计专题实验,表达与交流,计算机图形学,计算机科学技术导论,计算机系统综合设计实验,计算机组成,计算机组成与结构专题实验,计算机网络专题实验,计算机网络原理,课外实践8学分,软件定义网络,软件工程,金工实习,面向对象程序设计,项目设计,马克思主义基本原理,高等数学I-1,高等数学I-2
061e38f755e5eb31b5767dba729dc332,82,95,99,86.0,0,67,0,0,0,69,77,73,89,0,0,91.0,79,83,73,0,79,80,0,85,99,60,73,87,80,70,84,96.0,80,83,83,90.0,66,0,88,83,77,70,98,0,92,98,92,80,89.0,91,87,81,76,98,83,90.0,85,75,73,87,74,60,65,73,92,86,87,80,87,64
06268a76f8d2244aa092d5ae6d7b014e,70,92,92,83.0,0,91,0,0,0,0,0,85,89,0,0,89.0,90,85,83,0,69,80,0,95,82,60,77,87,89,92,88,80.0,83,95,85,92.0,81,0,74,79,88,86,92,92,83,92,87,81,86.0,92,0,84,88,89,90,88.0,92,84,79,87,84,60,90,80,92,88,83,88,81,85
067d26f8d601870c41917d331747f1ff,85,0,83,84.0,86,0,75,85,86,82,80,83,88,84,95,93.0,93,87,79,68,0,0,83,86,88,0,78,86,81,87,85,0.0,86,92,87,0.0,93,89,0,0,86,0,98,0,83,87,92,89,92.0,82,85,82,70,0,0,91.0,0,80,84,87,81,0,71,0,92,93,0,84,80,84
068b218036303c2e3d270d21f34c5653,0,0,0,80.0,0,0,0,71,77,0,0,82,85,0,0,0.0,0,92,0,0,0,0,77,0,67,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,87,0,0,0,0,0.0,93,0,92,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,87,88
069938ca2d8493e50223dc3d84744577,70,98,98,92.0,0,0,87,0,0,0,0,85,93,0,0,91.0,100,87,98,0,73,86,0,95,88,60,79,93,60,60,80,93.0,84,93,92,93.0,92,0,92,98,90,94,98,82,98,79,92,94,60.0,60,60,0,79,87,0,81.0,98,60,60,87,60,60,96,84,92,0,98,87,0,0
06fc7db16806625c0e9e2b9db9b6bce2,65,83,87,70.0,0,26,90,66,0,0,0,74,82,0,0,75.0,70,82,72,0,80,83,0,62,87,0,74,63,71,30,82,0.0,65,0,74,0.0,60,0,94,0,64,91,83,71,92,92,92,60,69.0,90,5,75,90,61,0,75.0,66,60,62,73,84,60,68,60,92,86,83,60,62,74
072bd62d37d930796ea2fa12447a7964,0,0,0,78.0,80,0,0,68,76,68,68,88,71,0,0,67.0,67,87,83,0,0,0,70,0,0,0,0,0,0,0,64,87.0,0,83,66,0.0,26,38,0,0,83,69,83,60,87,79,87,44,69.0,0,69,93,0,0,0,84.0,0,0,0,0,0,0,0,0,92,71,0,81,0,0
0753db9c82c821ce01c706e0f164d5d4,0,0,0,83.0,0,0,0,0,84,79,0,87,89,90,94,97.0,0,83,0,80,0,0,80,0,96,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,94,0,98,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,83,91
0774c615b2484a09255b20de425501d1,0,0,0,90.0,84,0,0,82,79,86,86,88,81,0,0,92.0,96,87,87,83,0,0,83,92,85,0,0,0,0,0,84,95.0,0,83,94,0.0,90,98,0,0,87,0,83,97,83,83,73,96,97.0,84,89,95,0,0,0,87.0,0,0,0,0,0,0,0,0,92,94,0,86,83,85
0785ac7762847e8b7d5bd5ec42499ac0,0,0,0,87.0,81,0,0,72,78,78,80,0,72,0,0,94.0,86,87,87,72,0,0,0,0,0,0,0,0,0,0,0,92.0,0,83,90,0.0,90,92,0,0,88,0,83,87,87,87,87,85,87.0,90,86,79,0,0,0,0.0,0,0,0,0,0,0,0,0,92,93,0,83,81,84
