形式语言与编译,操作系统原理i,操作系统设计专题实验,数据库系统,编译器设计专题实验,计算机组成,计算机组成与结构专题实验,计算机网络专题实验,计算机网络原理
87,85,98,88,100,80,95,98,84
91,89,98,90,81,85,80,87,84
77,89,92,83,88,84,79,87,84
70,81,92,80,85,83,79,76,84
65,90,98,81,75,89,87,98,84
70,77,87,72,62,66,90,76,84
64,85,92,69,82,72,83,92,84
0,90,92,67,82,91,78,87,84
69,84,98,82,80,89,80,87,84
84,86,86,74,70,80,85,87,84
76,96,98,86,86,89,92,92,84
74,83,92,78,73,68,98,83,84
74,86,87,76,89,86,95,83,84
83,94,87,82,83,86,92,92,84
60,82,93,71,85,72,89,87,84
75,87,98,82,93,86,92,87,84
82,78,83,70,84,75,81,83,84
71,85,92,84,87,87,95,92,84
81,89,92,89,83,94,80,92,84
82,85,83,60,87,80,95,87,84
90,81,98,89,93,84,91,87,84
0,92,87,84,76,64,79,92,84
72,94,73,77,67,67,93,79,84
72,91,98,84,87,82,100,98,84
0,87,98,87,87,84,80,87,84
77,86,98,78,80,87,83,92,84
66,87,92,76,90,73,79,76,84
72,73,92,84,83,84,98,98,84
87,86,92,80,84,84,70,87,84
71,84,92,76,79,85,76,79,84
72,84,98,81,81,80,88,90,84
74,71,30,65,90,60,62,73,84
77,88,98,85,97,90,98,87,83
79,89,98,85,82,82,76,87,83
84,80,92,87,79,92,85,98,83
91,87,91,77,71,87,75,90,83
76,83,92,75,78,94,98,92,83
80,85,98,83,74,76,73,92,83
89,85,98,87,89,85,93,92,83
81,87,92,82,79,88,95,92,83
79,85,92,80,93,86,79,83,83
82,85,92,83,80,83,60,92,83
0,88,98,88,82,82,87,92,83
70,88,93,75,80,81,85,87,83
66,93,92,78,69,88,83,92,83
81,92,98,78,78,81,95,98,83
77,96,92,88,84,66,90,98,83
82,82,98,86,77,89,95,92,83
79,78,87,82,71,76,83,83,83
81,94,92,90,82,80,75,95,83
71,88,92,89,70,83,76,92,83
69,94,92,78,73,88,83,87,83
85,84,98,85,77,90,95,83,83
85,91,92,68,90,84,100,76,83
80,86,92,83,91,80,79,79,83
71,79,98,77,88,72,98,87,83
74,87,92,84,67,78,100,87,83
72,83,92,73,81,86,92,76,83
84,88,98,86,77,82,81,92,83
83,91,92,75,89,90,79,76,83
87,92,97,86,96,85,90,90,82
93,90,92,86,74,86,88,87,82
91,89,98,87,82,81,95,92,82
75,86,92,76,88,80,98,87,82
84,93,98,88,82,93,92,92,82
85,77,98,83,84,78,98,98,82
83,98,87,80,83,90,72,87,82
77,92,98,84,80,92,83,87,82
88,88,98,91,87,80,89,87,82
84,84,92,74,83,96,83,76,82
69,89,83,78,77,77,85,87,82
75,78,92,72,93,90,83,92,82
88,83,98,91,88,68,85,92,82
96,84,92,88,88,83,80,87,82
