大学物理II-2,大学物理实验I-1,操作系统设计专题实验,数字逻辑电路,概率统计与随机过程,电路,离散数学a,线性代数与解析几何
0,87,98,81,89,88,84,83
73,81,98,79,74,88,74,70
84,87,98,83,75,88,73,79
100,87,98,90,92,88,92,80
91,93,87,85,71,88,89,90
91,92,0,88,92,88,87,93
94,87,98,87,88,88,92,90
93,87,87,87,72,88,85,83
87,92,98,81,87,88,86,87
92,83,98,83,73,88,93,81
73,98,98,73,80,88,88,81
98,88,92,90,81,88,85,92
85,98,92,89,87,88,85,91
90,87,0,87,94,88,93,99
89,92,92,89,86,88,89,91
66,92,92,80,84,88,81,88
93,85,92,85,90,88,96,91
90,92,92,79,84,88,94,89
86,83,0,82,84,88,84,84
89,89,98,87,90,88,90,94
93,92,98,88,91,88,91,91
80,83,92,65,90,87,84,71
96,87,0,90,93,87,94,93
92,79,79,72,92,87,90,96
96,92,92,72,98,87,91,94
84,83,92,91,87,87,82,83
87,92,0,82,84,87,86,98
86,98,0,67,77,87,82,84
77,86,98,74,84,87,76,0
84,78,92,87,93,87,75,75
87,87,87,78,80,87,87,90
86,83,76,90,84,87,90,0
87,87,92,89,84,87,94,94
0,92,0,75,85,87,94,92
88,84,97,90,90,87,92,94
81,85,98,81,86,87,76,84
94,83,95,85,93,87,86,96
77,84,92,83,83,87,72,85
96,98,98,94,92,87,96,94
92,87,0,71,72,87,83,86
92,98,92,85,88,87,87,89
92,92,92,88,93,87,87,89
78,83,87,90,81,87,84,89
0,83,87,67,85,87,82,84
86,94,98,86,81,87,69,92
76,84,87,73,80,87,69,86
78,83,98,83,77,87,69,80
87,85,92,79,86,87,60,93
0,92,98,85,73,87,85,80
0,83,92,84,82,87,90,0
79,0,83,83,62,87,90,78
85,82,98,79,86,87,75,72
89,85,93,84,83,87,80,92
88,87,77,81,81,87,81,95
91,87,87,80,81,87,85,89
79,76,83,77,76,87,77,95
87,87,98,81,63,87,83,81
85,87,98,78,94,87,88,73
86,83,83,87,88,87,88,85
92,83,98,86,89,87,86,83
96,87,98,92,92,87,95,0
73,88,92,63,71,87,82,79
89,0,93,82,93,87,0,95
74,85,98,82,91,87,77,79
90,85,89,72,83,87,79,93
92,87,98,93,80,87,86,93
90,92,0,77,84,87,84,96
0,83,0,83,97,86,88,89
0,87,92,87,80,86,86,85
90,88,98,85,87,86,83,88
93,92,98,85,85,86,90,82
84,84,92,70,90,86,76,94
87,83,87,75,69,86,92,80
94,87,0,82,98,86,93,90
0,92,92,88,77,86,81,81
74,86,98,64,70,86,80,83
65,0,62,73,0,86,83,82
95,83,0,84,80,86,90,91
94,87,83,91,76,86,92,93
91,92,92,83,71,86,92,91
78,87,92,87,87,86,85,80
89,98,0,86,82,86,90,81
90,79,0,79,93,86,90,88
92,86,88,78,89,86,83,85
90,83,70,61,60,86,71,84
0,0,0,83,0,86,0,0
98,87,0,91,83,86,94,85
87,83,92,87,79,86,86,0
93,87,0,86,95,86,87,80
90,87,98,96,81,86,91,0
93,88,98,92,88,86,90,89
92,83,87,91,88,86,90,93
0,92,98,86,92,86,93,94
80,87,98,80,82,86,84,91
89,79,92,80,76,86,84,84
92,98,0,74,79,86,86,95
79,92,92,70,74,86,73,0
89,87,87,89,91,86,89,0
92,92,79,83,83,86,83,89
72,85,92,82,85,86,80,70
89,87,0,64,88,86,89,87
96,87,0,74,80,86,78,0
87,85,96,76,82,86,77,90
91,92,0,71,83,86,89,90
88,92,98,94,80,85,83,0
86,87,0,0,90,85,87,79
87,78,83,77,90,85,88,94
84,83,79,68,71,85,84,89
86,83,98,87,84,85,85,79
96,85,92,84,77,85,85,85
93,87,92,87,76,85,96,94
80,85,92,69,92,85,86,75
0,87,98,78,89,85,80,90
91,87,92,74,75,85,87,86
86,92,73,67,77,85,70,88
97,87,0,88,88,85,87,95
99,92,0,87,98,85,93,97
86,79,92,87,85,85,85,0
90,87,92,74,74,85,85,76
0,87,98,98,91,85,92,0
94,98,0,76,93,85,83,89
68,83,92,69,60,85,76,72
86,88,92,68,75,85,70,83
0,92,83,83,64,85,60,72
97,92,0,89,91,85,94,95
81,87,92,76,80,85,78,83
77,87,92,74,73,85,77,74
87,87,98,81,85,85,79,89
89,87,92,80,81,85,79,78
74,81,92,82,83,85,77,80
76,86,92,85,86,85,69,82
90,98,0,78,91,85,77,86
95,79,94,87,89,85,94,93
92,83,92,90,82,85,86,95
89,92,92,80,87,85,90,91
94,92,92,89,82,85,75,74
92,98,92,83,73,85,91,0
76,87,87,83,81,84,74,91
87,92,87,92,75,84,91,92
86,76,76,79,78,84,85,0
97,87,0,85,90,84,86,93
74,83,98,84,81,84,81,81
87,92,92,87,75,84,90,91
82,87,98,90,85,84,79,78
82,83,87,61,72,84,90,73
80,87,83,69,73,84,85,80
84,87,92,86,69,84,80,0
90,98,0,76,75,84,74,87
90,87,0,81,89,84,91,84
92,92,0,81,90,84,93,92
85,81,92,65,90,84,75,86
0,92,92,84,70,84,92,89
85,87,92,88,86,84,92,97
80,77,75,65,82,84,71,85
92,87,0,84,87,84,93,92
86,83,92,73,79,84,78,84
84,83,87,84,71,84,87,0
