高等数学i1,线性代数与解析几何ii,大学物理实验i1,大学物理ii1,高等数学i2,程序设计基础,工程制图iii,电路,概率统计与随机过程,数据结构与算法i,离散数学a,大学物理实验i2,数据结构与程序设计专题实验,面向对象程序设计,大学物理ii2,模拟电子技术基础,形式语言与编译,电子技术实验1,编译器设计专题实验,电子技术实验2,数字逻辑电路,汇编语言,数学建模ii,数理逻辑,计算机组成,操作系统原理i,计算机网络原理,操作系统设计专题实验,计算机组成与结构专题实验,人工智能,计算机图形学,数据库系统,计算机网络专题实验,软件工程,计算机系统综合设计实验,软件定义网络,毕业设计（论文）
80,93,87,92,82,77,78,86,76,81,92,87,86,89,94,83,82,92,87,87,91,77,100,95,80,85,84,83,95,92,92,60,87,68,83,0,83
91,87,87,92,90,92,77,89,86,73,87,92,78,92,90,96,85,98,76,87,85,88,98,90,82,86,80,98,97,90,94,80,92,84,87,86,87
82,92,79,91,75,92,87,82,78,75,90,87,76,90,78,86,68,79,72,87,80,77,95,87,67,75,78,83,95,77,80,80,76,63,83,77,83
84,85,87,87,88,84,72,82,80,90,80,87,98,92,80,97,85,92,77,92,90,91,97,94,90,84,83,98,95,90,99,85,83,85,98,89,87
92,96,92,97,93,88,96,99,91,87,88,92,95,99,96,100,83,92,87,92,92,91,99,97,87,89,84,98,100,92,96,84,92,91,92,90,83
82,0,87,86,73,94,83,76,77,88,89,87,88,87,83,91,71,98,87,76,90,91,0,95,87,85,84,92,95,94,91,84,92,77,87,84,83
95,94,83,98,94,99,86,98,96,93,93,87,87,95,94,98,88,92,79,92,94,93,100,0,88,93,93,98,95,95,90,93,92,91,83,90,87
0,81,79,90,0,95,0,82,74,90,82,83,95,87,83,88,77,92,74,92,91,79,96,88,80,79,85,98,95,0,79,85,87,75,87,82,87
91,91,83,96,94,96,61,94,93,91,96,83,88,94,92,97,87,92,88,87,92,89,100,98,98,92,88,92,95,0,99,86,87,85,87,85,92
90,88,83,0,67,89,89,80,79,78,81,79,85,74,0,74,77,87,75,87,67,60,97,91,82,66,80,87,95,75,86,64,92,74,87,75,73
0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,58,0,98,0,30,66,81,0,0,0,0,60,0,0,0,0,69,76,74,0,0,0
92,0,87,98,88,91,97,86,91,92,89,87,95,0,89,88,83,98,74,70,89,71,96,0,86,86,84,87,95,0,87,74,79,62,92,0,87
74,90,87,84,74,83,69,79,69,71,82,83,83,90,89,86,73,92,66,92,83,75,94,0,73,81,77,87,95,70,98,78,98,77,87,88,83
90,0,87,90,69,95,75,84,69,73,80,87,87,89,84,88,64,87,86,92,86,86,96,89,73,91,80,92,97,97,85,76,92,75,87,82,83
84,0,83,97,83,99,87,98,97,92,94,92,92,97,98,100,93,92,77,92,96,96,0,98,93,95,92,98,100,98,100,95,98,94,98,99,92
0,74,83,99,0,99,0,78,75,86,81,87,95,67,90,84,66,98,92,76,86,90,96,0,82,89,94,98,100,93,0,75,98,80,98,92,87
0,89,98,96,0,96,0,80,78,94,88,92,92,97,94,100,92,92,82,90,89,93,100,99,97,93,96,98,97,94,0,95,92,84,92,92,92
81,84,87,86,77,72,75,83,82,80,84,87,83,0,91,90,78,87,76,87,86,84,97,90,89,86,86,98,95,79,0,84,83,61,92,63,83
79,80,79,91,82,87,70,77,88,84,77,83,85,92,88,93,67,87,70,87,82,84,97,95,76,82,74,83,95,0,89,72,92,71,87,71,83
92,0,83,94,79,98,89,91,91,84,94,87,92,0,86,89,80,87,68,92,83,91,99,93,87,87,70,87,100,85,83,72,83,70,76,0,79
